country,population,naive_rmse,medida_rmse,improvement
North America,600323657.0,0.0025030075207053627,0.0004688491043904647,5.338620671909868
North Korea,26069416.0,0.0,9.611762525055278e-06,0.0
North Macedonia,2093606.0,0.0029575785709357863,0.0007109602102084383,4.159977630912267
Northern Cyprus,382836.0,0.0,9.61176252505528e-06,0.0
Northern Ireland,1896000.0,0.0,9.611762525055278e-06,0.0
Northern Mariana Islands,49574.0,0.0038893507590108275,0.0009263694743815027,4.198487608421662
Norway,5434324.0,0.002247297427180014,0.0006015598640315046,3.73578352139251
Oceania,45038860.0,0.0004236283245409125,0.00014689373276527006,2.883910133986809
Oman,4576300.0,0.0021695581769541118,0.0004847714407989419,4.475424899986904
Pakistan,235824864.0,0.00018601983417562131,4.36854963544527e-05,4.25816002332456
Palau,18084.0,4.858823303430266e-05,2.1114842653686908e-05,2.3011411371241532
Palestine,5250076.0,0.0026231205636102913,0.0006296711234366999,4.165858121765989
Panama,4408582.0,0.002974316901447025,0.001062671713668466,2.798904744701765
Papua New Guinea,10142625.0,0.00018262716259194328,2.8890597633655193e-05,6.321335574560684
Paraguay,6780745.0,0.002251299275377191,0.00046544952662463024,4.8368279407292
Peru,34049588.0,0.0018727051271439567,0.0003552742583861881,5.271153434112021
Philippines,115559008.0,0.0009173336655643811,0.00016814678454313628,5.455552825805294
Pitcairn,47.0,0.0,9.611762525055278e-06,0.0
Poland,39857144.0,0.0032905759335563967,0.0007114529289334766,4.625149183782582
Portugal,10270857.0,0.0035895790415679265,0.001004019444883295,3.5752086873030344
Puerto Rico,3252412.0,0.0019234055694302558,0.0009445030718129207,2.036420660589686
Qatar,2695131.0,0.002950074181242071,0.0006874047880237812,4.291611336783431
Reunion,974062.0,0.0021108255920861134,0.0005048734054322652,4.180900735460319
Romania,19659270.0,0.0028545016318764793,0.0006778855648611428,4.210890126361065
Russia,144713312.0,0.0018256195852902435,0.00031805704837992724,5.739912366631455
Rwanda,13776702.0,0.0003794244369922489,6.73344779726212e-05,5.634920599615048
Saint Barthelemy,10994.0,0.005140098590134872,0.0032108568220277655,1.6008495162013248
Saint Helena,5401.0,0.0,9.611762525055278e-06,0.0
Saint Kitts and Nevis,47681.0,0.0031689265611132894,0.0007145099532395728,4.435104852977127
Saint Lucia,179872.0,0.0030128331477188687,0.0006228164604439143,4.837433399835744
Saint Martin (French part),31816.0,0.00326044993576562,0.0014063066135948557,2.3184488391412246
Saint Pierre and Miquelon,5885.0,0.0014519771425179197,0.00043478269609295746,3.3395467564962242
Saint Vincent and the Grenadines,103959.0,0.0026009805693201905,0.0005702089736494743,4.561451484485224
Samoa,222390.0,1.0343107296219463e-06,9.54823812181175e-06,0.10832477326462914
San Marino,33690.0,0.004205800012178972,0.003382942625232544,1.2432371689690909
Sao Tome and Principe,227393.0,0.000735460679083127,0.00017981332442974676,4.09013448483609
Saudi Arabia,36408824.0,0.0005988133693648504,0.0001339257658031524,4.471233490984863
Scotland,5466000.0,0.0,9.611762525055278e-06,0.0
Senegal,17316452.0,0.00020157128463085748,4.0311154879307534e-05,5.000384762837141
Serbia,6871547.0,0.004283242321946837,0.0019441379915405817,2.203157564218316
Seychelles,107135.0,0.0052366700277324575,0.004001859919798294,1.3085590532105387
Sierra Leone,8605723.0,3.5957628095727096e-05,7.888808357434455e-06,4.558055724834593
Singapore,5637022.0,0.002497300449209955,0.00040495584104716467,6.166846347375189
Sint Maarten (Dutch part),44192.0,0.0028576521444514916,0.0008365384975372548,3.4160437957898373
Slovakia,5643455.0,0.0037274601389209977,0.0011140754623557166,3.3457878437060895
Slovenia,2119843.0,0.00422301981371526,0.0018672125003231222,2.2616707059236503
Solomon Islands,724272.0,2.6314979005781183e-06,9.33824232699024e-06,0.2817979881473329
Somalia,17597508.0,5.3674841412363064e-05,8.809236875039159e-06,6.093018291340301
South Africa,59893884.0,0.0018118078517175898,0.0004007639715883021,4.520885059944532
South America,436816679.0,0.0022363235450566553,0.0006082694827849486,3.676534181556663
South Korea,51815808.0,0.00045792188271218424,9.469398715012248e-05,4.835807388553835
South Sudan,10913172.0,6.266779523068632e-05,1.3688908592543549e-05,4.577997932196138
Spain,47558632.0,0.0029905406693598075,0.0010896386019266298,2.744525261928242
Sri Lanka,21832150.0,0.0011124709319243393,0.00019837076231529876,5.608038800375892
Sudan,46874200.0,3.6931530897238907e-05,6.0677260458162694e-06,6.086552131453495
Suriname,618046.0,0.002822260824314352,0.0006499877004497237,4.342021891124466
Sweden,10549349.0,0.00329956970613048,0.0011889742213496508,2.7751398195875185
Switzerland,8740471.0,0.0035997232606153414,0.0008568531507187418,4.201097069662214
Syria,22125242.0,8.655662050947083e-05,1.345327968518888e-05,6.433867617036434
Taiwan,23893396.0,0.0,9.611762525055278e-06,0.0
Tajikistan,9952789.0,7.788387802942595e-05,1.4975560708443852e-05,5.200732015697532
Tanzania,65497752.0,6.384690514170247e-05,2.64062569956371e-05,2.4178703233953756
Thailand,71697024.0,0.0014755288000832417,0.00019307447839878283,7.642277800360711
Togo,8848700.0,0.00013183995654377723,2.50348262916101e-05,5.266262086586183
Tokelau,1893.0,0.0,9.611762525055278e-06,0.0
Tonga,106867.0,1.8002386772334429e-06,9.618538407803096e-06,0.1871634338719268
Trinidad and Tobago,1531043.0,0.002037564990401365,0.0004252891438871363,4.791011056097158
Tunisia,12356116.0,0.0020897947099515384,0.00044117486650111756,4.736885232210399
Turkey,85341248.0,0.002797907175183284,0.0005692370183491039,4.915188374954512
Turkmenistan,6430777.0,0.0,9.611762525055278e-06,0.0
Turks and Caicos Islands,45726.0,0.0026329714511213677,0.0004973416978219745,5.294089481441089
Tuvalu,11335.0,0.0,9.611762525055278e-06,0.0
Uganda,47249588.0,0.00014687666149445355,4.290505817984471e-05,3.4232947751473057
Ukraine,39701744.0,0.0026075280723796084,0.0005052916275372049,5.160441872129803
United Arab Emirates,9441138.0,0.002214640208434201,0.0004972957277002599,4.453366649007396
United Kingdom,67508936.0,0.0035602422477774925,0.0009189995931276833,3.8740411577993394
United States,338289856.0,0.003247174193118321,0.0011945010735403255,2.7184355586171005
United States Virgin Islands,99479.0,0.002230371859112346,0.000509343427420142,4.378915558819177
Upper-middle-income countries,2525921300.0,0.000605684034450761,0.00023533809589500122,2.5736761069104337
Uruguay,3422796.0,0.004202078800869196,0.001500211790269733,2.8009903855732774
Uzbekistan,34627648.0,0.0001585444838886073,2.091875908169472e-05,7.579057785858057
Vanuatu,326744.0,2.0249128899701563e-06,9.524344903780184e-06,0.2126039019404342
Vatican,808.0,0.0033291897901969814,0.001500413841393797,2.2188476927834513
Venezuela,28301700.0,0.00048540543659565547,0.00010889338425769278,4.457621001538153
Vietnam,98186856.0,0.0008426511849919289,0.00013771416770172115,6.1188416490092
Wales,3170000.0,0.0,9.611762525055278e-06,0.0
Wallis and Futuna,11596.0,0.004266188019732795,0.0012576444282704274,3.392205240077166
World,7975105024.0,0.0009510638030524388,0.00021023033474857814,4.523913279165205
